Theta (radians),Mach,V_r,V_theta,P/P0,T/T0,rho/rho0
3.267256359733385,3.066588638491052,2.898959447409088,1.0,0.024643802612498454,0.3471266207130599,0.07099369838555077
3.267306359733385,3.066489666853595,2.89900943619579,0.9995514822997551,0.024647437777491333,0.34714124967142673,0.07100117834115198
3.267356359733385,3.06639076501666,2.8990594025587386,0.9991030498478257,0.024651070950244134,0.3471558690726648,0.07100865388245618
3.2674063597333847,3.0662919329277685,2.899109346502194,0.9986547025681759,0.024654702131568344,0.34717047892296,0.07101612501171053
3.2674563597333846,3.0661931705345165,2.8991592680304135,0.9982064403848878,0.024658331322274345,0.3471850792284891,0.07102359173115913
3.2675063597333844,3.0660944777845756,2.8992091671476494,0.9977582632221614,0.02466195852317143,0.3471996699954208,0.07103105404304301
3.2675563597333843,3.0659958546256934,2.899259043858151,0.9973101710043144,0.02466558373506778,0.3472142512299147,0.07103851194960019
3.267606359733384,3.0658973010056916,2.899308898166164,0.9968621636557818,0.024669206958770572,0.34722882293812274,0.07104596545306582
3.267656359733384,3.0657988168724675,2.89935873007593,0.9964142411011162,0.02467282819508585,0.3472433851261875,0.07105341455567193
3.267706359733384,3.065700402173994,2.899408539591686,0.9959664032649873,0.024676447444818502,0.34725793780024333,0.07106085925964746
3.267756359733384,3.0656020568583187,2.8994583267176672,0.9955186500721818,0.02468006470877243,0.347272480966416,0.07106829956721848
3.2678063597333837,3.0655037808735623,2.899508091458103,0.9950709814476033,0.024683679987750458,0.3472870146308231,0.07107573548060808
3.2678563597333836,3.0654055741679223,2.89955783381722,0.9946233973162721,0.02468729328255423,0.3473015387995733,0.07108316700203621
3.2679063597333835,3.0653074366896704,2.899607553799241,0.9941758976033253,0.0246909045939844,0.34731605347876704,0.07109059413371994
3.2679563597333834,3.065209368387151,2.899657251408386,0.9937284822340159,0.024694513922840538,0.34733055867449636,0.07109801687787339
3.2680063597333833,3.0651113692087844,2.8997069266488693,0.9932811511337136,0.02469812126992105,0.3473450543928445,0.0711054352367075
3.268056359733383,3.065013439103063,2.8997565795249027,0.992833904227904,0.02470172663602346,0.34735954063988705,0.07111284921243063
3.268106359733383,3.0649155780185557,2.899806210040694,0.9923867414421885,0.02470533002194401,0.34737401742169033,0.07112025880724776
3.268156359733383,3.0648177859039043,2.8998558182004475,0.9919396627022846,0.024708931428477954,0.3473884847443126,0.07112766402336106
3.268206359733383,3.064720062707823,2.8999054040083636,0.9914926679340251,0.02471253085641953,0.347402942613804,0.07113506486296982
3.2682563597333827,3.0646224083791007,2.899954967468639,0.9910457570633584,0.02471612830656182,0.3474173910362059,0.07114246132827025
3.2683063597333826,3.0645248228666007,2.900004508585467,0.9905989300163481,0.024719723779696886,0.34743183001755146,0.07114985342145566
3.2683563597333825,3.0644273061192573,2.9000540273630366,0.9901521867191732,0.024723317276615756,0.3474462595638657,0.0711572411447165
3.2684063597333823,3.0643298580860803,2.9001035238055337,0.9897055270981272,0.02472690879810829,0.3474606796811649,0.07116462450024005
3.268456359733382,3.0642324787161503,2.90015299791714,0.9892589510796189,0.02473049834496343,0.34747509037545754,0.07117200349021095
3.268506359733382,3.064135167958623,2.9002024497020336,0.9888124585901716,0.024734085917968968,0.3474894916527434,0.07117937811681073
3.268556359733382,3.064037925762725,2.9002518791643896,0.988366049556423,0.024737671517911605,0.34750388351901396,0.0711867483822179
3.268606359733382,3.063940752077758,2.900301286308379,0.9879197239051254,0.02474125514557706,0.3475182659802527,0.07119411428860822
3.2686563597333818,3.063843646853093,2.9003506711381686,0.9874734815631451,0.024744836801750016,0.3475326390424348,0.07120147583815457
3.2687063597333816,3.0637466100381774,2.9004000336579225,0.9870273224574625,0.024748416487213973,0.3475470027115269,0.07120883303302664
3.2687563597333815,3.063649641582528,2.9004493738718007,0.9865812465151721,0.024751994202751478,0.34756135699348756,0.0712161858753914
