Shock Angle (degrees),Cone Angle (degrees),V_r,V_theta
20.0,17.22417177040714,0.9188058565965874,0.000970044062342071
19.9,17.131202035933523,0.919379656954858,0.0009429797943701515
19.799999999999997,17.038139029264634,0.9199507166063882,0.000916948552504509
19.699999999999996,16.94498185875843,0.9205190339295364,0.0008919578023008877
19.599999999999994,16.851729610675235,0.9210846073131745,0.0008680151001947006
19.499999999999993,16.758381348634163,0.9216474351567155,0.0008451280932856086
19.39999999999999,16.664936113052374,0.9222075158701033,0.0008233045190161317
19.29999999999999,16.565663342615508,0.9227647583763311,0.000987408252631571
19.19999999999999,16.472021185486422,0.9233193420634457,0.0009678411257306415
19.099999999999987,16.37827903098185,0.9238711738048138,0.000949360948105944
18.999999999999986,16.284435820742605,0.9244202520517592,0.0009319758208400994
18.899999999999984,16.190490470126875,0.924966575266138,0.0009156939320154742
18.799999999999983,16.096441867533738,0.9255101419203314,0.0009005235555328329
18.69999999999998,16.002288873704824,0.9260509504972347,0.0008864730497438777
18.59999999999998,15.908030321003269,0.9265889994902484,0.000873550855883896
18.49999999999998,15.813665012669087,0.9271242874032537,0.0008617654962904737
18.399999999999977,15.719191722050198,0.9276568127505922,0.0008511255723893621
18.299999999999976,15.624609191807922,0.928186574057039,0.0008416397624319712
18.199999999999974,15.529916133096314,0.9287135698577734,0.0008333168189652016
18.099999999999973,15.435111224713982,0.929237798698337,0.0008261655660133049
17.99999999999997,15.340193112227558,0.9297592591345959,0.000820194895950239
17.89999999999997,15.245160407065635,0.9302779497326926,0.0008154137660394957
17.79999999999997,15.144282107630692,0.9307937785616591,0.0009983269307855776
17.699999999999967,15.049015910135658,0.9313069254549591,0.000996055984895482
17.599999999999966,14.953630739894246,0.9318172981478982,0.00099500172683886
17.499999999999964,14.858125062089899,0.932324895246171,0.000995173344291504
17.399999999999963,14.762497302752273,0.9328297153653872,0.0009965800670083947
17.29999999999996,14.66674584764779,0.9333317571309757,0.000999231160791181
